2023-04-23 21:03:05.442 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:03:05.523 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 49 ms. Found 0 Redis repository interfaces.
2023-04-23 21:03:06.258 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:03:06.266 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:03:06.266 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:03:06.267 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:03:06.342 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:03:06.342 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1963 ms
2023-04-23 21:03:07.843 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@62c53685, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@29ba63f0, org.springframework.security.web.context.SecurityContextHolderFilter@6c13019c, org.springframework.security.web.header.HeaderWriterFilter@dbda472, org.springframework.security.web.authentication.logout.LogoutFilter@511d568f, com.litao.security.filter.AuthenticationTokenFilter@da34eb0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@47ae6c18, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3835b281, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4822ab4d, org.springframework.security.web.session.SessionManagementFilter@62a41279, org.springframework.security.web.access.ExceptionTranslationFilter@18b45500, org.springframework.security.web.access.intercept.AuthorizationFilter@185a7dd0]
2023-04-23 21:03:08.151 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:03:08.170 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:03:08.178 [main] INFO  com.litao.ServerApplication - Started ServerApplication in 4.203 seconds (process running for 4.93)
2023-04-23 21:03:13.620 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:03:13.620 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:03:13.621 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-23 21:03:14.194 [http-nio-8080-exec-24] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 141 ms
2023-04-23 21:07:18.547 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:07:18.623 [main] INFO  com.litao.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 11464 (D:\WEBIDEA\admin-template\admin-server\target\classes started by Acer in D:\WEBIDEA\admin-template)
2023-04-23 21:07:18.624 [main] INFO  com.litao.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:07:19.752 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 21:07:19.754 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:07:19.780 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2023-04-23 21:07:20.360 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:07:20.366 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:07:20.368 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:07:20.368 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:07:20.446 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:07:20.447 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1741 ms
2023-04-23 21:07:21.980 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@73316a0a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@63a7af06, org.springframework.security.web.context.SecurityContextHolderFilter@2358443e, org.springframework.security.web.header.HeaderWriterFilter@2d8c729f, org.springframework.security.web.authentication.logout.LogoutFilter@3a0e7f89, com.litao.security.filter.AuthenticationTokenFilter@2bfa17b0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@62c53685, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29ba63f0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5f01fb5c, org.springframework.security.web.session.SessionManagementFilter@3cc74fc4, org.springframework.security.web.access.ExceptionTranslationFilter@7178d811, org.springframework.security.web.access.intercept.AuthorizationFilter@6b2f7527]
2023-04-23 21:07:22.293 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:07:22.312 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:07:22.320 [main] INFO  com.litao.ServerApplication - Started ServerApplication in 4.431 seconds (process running for 5.532)
2023-04-23 21:07:43.278 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:07:43.279 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:07:43.280 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-04-23 21:07:43.807 [http-nio-8080-exec-6] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 126 ms
2023-04-23 21:13:38.582 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
